time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180423:0610,12.86,0.0,28.0,0.0,16.99,15.59,1.86,0.0
20180423:0710,65.42,0.0,95.99,0.0,26.65,18.0,2.21,0.0
20180423:0810,54.48,0.0,82.99,0.0,35.86,19.21,2.21,0.0
20180423:0910,303.85,54.63,330.2,0.01,43.96,19.89,2.48,0.0
20180423:1010,547.65,413.12,275.35,0.01,50.05,20.55,3.24,0.0
20180423:1110,391.41,97.24,395.43,0.01,52.94,20.97,3.79,0.0
20180423:1210,364.26,71.92,383.31,0.01,51.84,19.12,3.72,0.0
20180423:1310,547.51,447.52,232.29,0.01,47.08,19.28,3.79,0.0
20180423:1410,266.17,40.46,295.14,0.01,39.76,18.77,3.45,0.0
20180423:1510,161.16,9.08,202.01,0.0,30.97,19.2,3.24,0.0
20180423:1610,65.1,0.0,95.99,0.0,21.45,19.17,2.9,0.0
20180423:1710,30.16,0.0,52.0,0.0,11.72,18.64,2.34,0.0
20180423:1810,0.0,0.0,0.0,0.0,0.0,17.76,2.34,0.0
20180423:1910,0.0,0.0,0.0,0.0,0.0,16.85,2.97,0.0
20180423:2010,0.0,0.0,0.0,0.0,0.0,16.02,2.76,0.0
20180423:2110,0.0,0.0,0.0,0.0,0.0,15.42,2.55,0.0
20180423:2210,0.0,0.0,0.0,0.0,0.0,14.61,2.41,0.0
20180423:2310,0.0,0.0,0.0,0.0,0.0,14.12,2.21,0.0
20180424:0010,0.0,0.0,0.0,0.0,0.0,13.52,2.07,0.0
20180424:0110,0.0,0.0,0.0,0.0,0.0,12.98,1.93,0.0
20180424:0210,0.0,0.0,0.0,0.0,0.0,12.44,1.79,0.0
20180424:0310,0.0,0.0,0.0,0.0,0.0,11.6,1.79,0.0
20180424:0410,0.0,0.0,0.0,0.0,0.0,10.83,1.86,0.0
20180424:0510,41.07,29.18,46.78,0.0,7.58,10.61,1.79,0.0
20180424:0610,177.98,150.87,90.97,0.0,17.27,12.4,1.66,0.0
20180424:0710,320.36,260.68,139.38,0.01,26.94,14.79,2.48,0.0
20180424:0810,406.18,269.6,229.75,0.01,36.15,16.19,3.1,0.0
20180424:0910,386.97,131.49,344.53,0.01,44.28,17.28,4.48,0.0
20180424:1010,481.64,227.79,365.97,0.01,50.38,17.94,4.34,0.0
20180424:1110,541.17,319.03,352.3,0.01,53.28,18.73,4.14,0.0
20180424:1210,553.71,368.65,321.39,0.01,52.16,19.26,3.79,0.0
20180424:1310,579.64,526.4,196.26,0.01,47.36,19.86,3.79,0.0
20180424:1410,522.43,528.89,121.82,0.01,40.01,20.0,3.52,0.0
20180424:1510,400.32,396.61,106.55,0.01,31.19,20.23,3.45,0.0
20180424:1610,205.09,118.57,152.17,0.0,21.67,20.02,3.1,0.0
