time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180516:0910,59490000.0,605.04,130.53,13.4,46.05,18.31,2.28,0.0
20180516:1010,71819000.0,791.18,120.73,16.2,57.03,20.44,2.41,0.0
20180516:1110,77921000.0,877.13,131.82,17.8,66.17,21.98,2.48,0.0
20180516:1210,78917000.0,873.03,152.91,18.22,70.41,22.86,2.69,0.0
20180516:1310,66649000.0,520.6,331.86,15.51,66.81,23.19,2.83,0.0
20180516:1410,60538000.0,479.53,287.72,14.38,57.96,23.65,2.97,0.0
20180516:1510,34138000.0,93.45,336.04,8.52,47.07,23.84,2.9,0.0
20180516:1610,31213000.0,173.58,223.59,8.48,35.51,23.8,2.76,0.0
20180516:1710,15156000.0,152.59,75.48,6.74,23.82,23.56,2.62,0.0
20180516:1810,3851000.0,0.0,62.45,1.33,12.31,23.05,2.28,0.0
20180516:1910,0.0,0.0,0.0,0.0,0.0,21.54,1.93,0.0
20180516:2010,0.0,0.0,0.0,0.0,0.0,19.3,2.41,0.0
20180516:2110,0.0,0.0,0.0,0.0,0.0,17.68,2.83,0.0
20180516:2210,0.0,0.0,0.0,0.0,0.0,16.54,2.9,0.0
20180516:2310,0.0,0.0,0.0,0.0,0.0,15.59,2.9,0.0
20180517:0010,0.0,0.0,0.0,0.0,0.0,14.64,2.83,0.0
20180517:0110,0.0,0.0,0.0,0.0,0.0,13.8,2.76,0.0
20180517:0210,0.0,0.0,0.0,0.0,0.0,12.98,2.62,0.0
20180517:0310,0.0,0.0,0.0,0.0,0.0,12.07,2.34,0.0
20180517:0410,0.0,0.0,0.0,0.0,0.0,10.87,1.93,0.0
20180517:0510,0.0,0.0,0.0,0.0,0.0,9.82,1.86,0.0
20180517:0610,3847000.0,26.82,48.72,2.71,11.43,10.01,1.79,0.0
20180517:0710,21715000.0,193.37,93.08,6.37,22.9,13.92,1.93,0.0
20180517:0810,42142000.0,379.09,133.79,9.92,34.58,16.15,2.69,0.0
20180517:0910,58835000.0,562.39,159.33,13.18,46.18,18.13,2.9,0.0
20180517:1010,71121000.0,735.95,157.46,15.91,57.18,19.81,2.9,0.0
20180517:1110,77949000.0,847.14,152.28,17.67,66.36,21.19,2.83,0.0
20180517:1210,80064000.0,907.55,129.97,18.48,70.64,22.25,2.76,0.0
20180517:1310,74247000.0,767.93,190.01,17.38,67.01,23.15,2.76,0.0
20180517:1410,63525000.0,580.0,230.36,15.22,58.12,23.87,2.69,0.0
20180517:1510,42031000.0,212.28,317.54,10.47,47.21,23.79,2.34,0.0
20180517:1610,27008000.0,89.98,255.23,7.19,35.64,23.54,1.93,0.0
20180517:1710,11322000.0,6.65,148.24,3.2,23.95,22.99,1.72,0.0
20180517:1810,3923000.0,0.0,63.31,1.35,12.45,22.66,1.59,0.0
20180517:1910,0.0,0.0,0.0,0.0,0.0,21.32,1.52,0.0
20180517:2010,0.0,0.0,0.0,0.0,0.0,19.56,1.72,0.0
20180517:2110,0.0,0.0,0.0,0.0,0.0,18.24,2.0,0.0
20180517:2210,0.0,0.0,0.0,0.0,0.0,17.36,2.62,0.0
20180517:2310,0.0,0.0,0.0,0.0,0.0,16.28,3.17,0.0
20180518:0010,0.0,0.0,0.0,0.0,0.0,15.12,2.83,0.0
20180518:0110,0.0,0.0,0.0,0.0,0.0,13.95,2.41,0.0
20180518:0210,0.0,0.0,0.0,0.0,0.0,13.15,2.28,0.0
20180518:0310,0.0,0.0,0.0,0.0,0.0,12.5,2.21,0.0
20180518:0410,0.0,0.0,0.0,0.0,0.0,12.07,2.07,0.0
20180518:0510,0.0,0.0,0.0,0.0,0.0,11.68,1.86,0.0
20180518:0610,4254000.0,20.93,56.4,2.51,11.56,11.91,1.45,0.0
20180518:0710,20616000.0,153.32,116.19,5.92,23.02,13.39,1.59,0.0
20180518:0810,7857000.0,0.0,108.1,2.17,34.7,14.6,1.66,0.0
20180518:0910,7428000.0,0.0,103.56,2.08,46.31,15.66,1.59,0.0
20180518:1010,5459000.0,0.0,80.85,1.62,57.33,17.45,1.38,0.0
20180518:1110,9388000.0,0.0,128.09,2.57,66.55,18.3,0.9,0.0
20180518:1210,21817000.0,1.02,276.22,5.55,70.86,19.84,0.83,0.0
20180518:1310,25255000.0,4.98,315.56,6.41,67.21,20.77,0.76,0.0
20180518:1410,44325000.0,167.6,395.16,10.85,58.28,21.43,0.83,0.0
20180518:1510,29723000.0,52.69,323.53,7.5,47.35,22.02,1.1,0.0
20180518:1610,35671000.0,357.8,98.79,10.38,35.77,21.93,1.17,0.0
20180518:1710,14423000.0,28.12,164.46,4.3,24.08,18.44,1.1,0.0
20180518:1810,4663000.0,0.0,71.01,1.51,12.59,16.91,0.76,0.0
20180518:1910,0.0,0.0,0.0,0.0,0.0,14.89,0.9,0.0
20180518:2010,0.0,0.0,0.0,0.0,0.0,14.37,0.62,0.0
20180518:2110,0.0,0.0,0.0,0.0,0.0,14.04,1.1,0.0
20180518:2210,0.0,0.0,0.0,0.0,0.0,13.67,1.24,0.0
20180518:2310,0.0,0.0,0.0,0.0,0.0,13.44,1.1,0.0
20180519:0010,0.0,0.0,0.0,0.0,0.0,13.15,0.62,0.0
20180519:0110,0.0,0.0,0.0,0.0,0.0,12.39,0.76,0.0
20180519:0210,0.0,0.0,0.0,0.0,0.0,11.82,0.97,0.0
20180519:0310,0.0,0.0,0.0,0.0,0.0,11.64,0.9,0.0
20180519:0410,0.0,0.0,0.0,0.0,0.0,12.2,0.62,0.0
20180519:0510,0.0,0.0,0.0,0.0,0.0,11.88,0.28,0.0
20180519:0610,4047000.0,24.11,52.71,2.66,11.68,11.86,0.21,0.0
20180519:0710,21131000.0,183.4,96.44,6.26,23.13,13.61,0.76,0.0
20180519:0810,41157000.0,375.13,130.31,9.85,34.82,15.53,1.24,0.0
20180519:0910,58227000.0,590.37,131.7,13.27,46.43,17.44,1.59,0.0
20180519:1010,47660000.0,199.72,392.37,11.09,57.47,18.99,1.79,0.0
20180519:1110,27104000.0,9.2,330.46,6.77,66.72,20.41,2.14,0.0
20180519:1210,42038000.0,88.29,437.11,10.18,71.08,20.9,2.14,0.0
20180519:1310,38350000.0,66.58,414.55,9.41,67.4,21.22,1.72,0.0
20180519:1410,50868000.0,277.01,370.97,12.34,58.43,21.73,1.1,0.0
20180519:1510,46915000.0,351.68,248.34,11.94,47.49,21.81,0.41,0.0
20180519:1610,14347000.0,2.33,188.06,3.82,35.9,22.0,0.0,0.0
20180519:1710,15598000.0,73.55,144.49,5.52,24.22,21.14,0.28,0.0
20180519:1810,4998000.0,0.0,76.14,1.62,12.73,20.21,0.41,0.0
20180519:1910,0.0,0.0,0.0,0.0,0.0,17.19,2.48,0.0
20180519:2010,0.0,0.0,0.0,0.0,0.0,16.08,2.0,0.0
20180519:2110,0.0,0.0,0.0,0.0,0.0,15.49,1.79,0.0
20180519:2210,0.0,0.0,0.0,0.0,0.0,14.7,2.07,0.0
20180519:2310,0.0,0.0,0.0,0.0,0.0,14.14,1.86,0.0
20180520:0010,0.0,0.0,0.0,0.0,0.0,13.25,1.24,0.0
20180520:0110,0.0,0.0,0.0,0.0,0.0,14.06,0.55,0.0
20180520:0210,0.0,0.0,0.0,0.0,0.0,13.64,0.34,0.0
20180520:0310,0.0,0.0,0.0,0.0,0.0,13.23,0.34,0.0
20180520:0410,0.0,0.0,0.0,0.0,0.0,12.72,0.21,0.0
20180520:0510,0.0,0.0,0.0,0.0,0.0,12.23,0.14,0.0
20180520:0610,4960000.0,4.89,71.43,1.77,11.8,12.26,0.07,0.0
20180520:0710,18488000.0,90.03,150.03,5.13,23.25,13.77,0.62,0.0
20180520:0810,34741000.0,202.9,222.52,8.28,34.92,14.9,1.03,0.0
20180520:0910,8726000.0,0.0,119.0,2.38,46.54,15.94,1.1,0.0
20180520:1010,13174000.0,0.0,171.69,3.44,57.6,16.98,0.9,0.0
20180520:1110,52640000.0,238.51,428.8,12.41,66.9,17.94,0.48,0.0
20180520:1210,54728000.0,254.13,440.55,12.94,71.29,18.91,0.9,0.0
20180520:1310,62147000.0,452.07,354.27,14.84,67.59,19.26,0.41,0.0
20180520:1410,42790000.0,146.73,396.18,10.52,58.58,19.77,0.21,0.0
20180520:1510,46405000.0,320.49,263.63,11.63,47.62,19.23,0.55,0.0
20180520:1610,8939000.0,0.0,122.64,2.46,36.03,17.91,0.69,0.0
20180520:1710,15783000.0,127.34,97.66,6.44,24.34,16.11,0.97,0.0
20180520:1810,343000.0,0.0,12.83,0.27,12.87,16.32,1.1,0.0
20180520:1910,0.0,0.0,0.0,0.0,0.0,15.78,2.28,0.0
20180520:2010,0.0,0.0,0.0,0.0,0.0,14.39,2.28,0.0
20180520:2110,0.0,0.0,0.0,0.0,0.0,14.11,1.86,0.0
20180520:2210,0.0,0.0,0.0,0.0,0.0,13.51,1.38,0.0
20180520:2310,0.0,0.0,0.0,0.0,0.0,12.83,1.1,0.0
20180521:0010,0.0,0.0,0.0,0.0,0.0,12.26,0.83,0.0
20180521:0110,0.0,0.0,0.0,0.0,0.0,11.63,0.9,0.0
20180521:0210,0.0,0.0,0.0,0.0,0.0,11.04,1.31,0.0
20180521:0310,0.0,0.0,0.0,0.0,0.0,10.79,1.45,0.0
20180521:0410,0.0,0.0,0.0,0.0,0.0,10.87,1.38,0.0
20180521:0510,0.0,0.0,0.0,0.0,0.0,10.75,1.24,0.0
20180521:0610,4623000.0,2.72,67.91,1.55,11.91,11.46,1.52,0.0
